Version;SupportBegin;SupportEnd
4.2.17;2026-01-01T00:00:00;2027-04-02T00:00:00
4.2.18;2026-01-02T00:00:00;2027-04-03T00:00:00
4.2.19;2026-01-03T00:00:00;2027-04-04T00:00:00
4.2.20;2026-01-04T00:00:00;2027-04-05T00:00:00
4.2.21;2026-01-04T00:00:00;2027-04-05T00:00:00
4.2.22;2026-01-04T00:00:00;2027-04-05T00:00:00
4.2.23;2026-01-04T00:00:00;2027-04-05T00:00:00
4.2.24;2026-01-04T00:00:00;2027-04-05T00:00:00
4.2.25;2026-01-04T00:00:00;2027-04-05T00:00:00
4.2.26;2026-01-09T00:00:00;2027-04-10T00:00:00
4.2.27;2026-01-10T00:00:00;2027-04-11T00:00:00
4.2.28;2026-01-12T00:00:00;2027-04-13T00:00:00
4.2.29;2026-01-12T00:00:00;2027-04-13T00:00:00
4.2.30;2026-01-13T00:00:00;2027-04-14T00:00:00
4.2.31;2026-01-25T00:00:00;2027-04-26T00:00:00
4.2.32;2026-01-26T00:00:00;2027-04-27T00:00:00
4.2.33;2026-01-28T00:00:00;2027-04-29T00:00:00
4.2.34;2026-01-31T00:00:00;2027-05-02T00:00:00
4.2.35;2026-01-31T00:00:00;2027-05-02T00:00:00
4.2.36;2026-02-02T00:00:00;2027-05-04T00:00:00
4.2.37;2026-02-06T00:00:00;2027-05-08T00:00:00
4.2.38;2026-02-08T00:00:00;2027-05-10T00:00:00
4.2.39;2026-02-16T00:00:00;2027-05-18T00:00:00
4.2.40;2026-02-20T00:00:00;2027-05-22T00:00:00
4.2.41;2026-02-20T00:00:00;2027-05-22T00:00:00
4.2.42;2026-02-24T00:00:00;2027-05-26T00:00:00
4.2.43;2026-02-24T00:00:00;2027-05-26T00:00:00
4.2.44;2026-03-03T00:00:00;2027-06-02T00:00:00
4.2.45;2026-03-03T00:00:00;2027-06-02T00:00:00
4.2.46;2026-03-04T00:00:00;2027-06-03T00:00:00
4.2.47;2026-03-10T00:00:00;2027-06-09T00:00:00
4.2.48;2026-03-17T00:00:00;2027-06-16T00:00:00
4.2.49;2026-03-19T00:00:00;2027-06-18T00:00:00
4.2.50;2026-03-19T00:00:00;2027-06-18T00:00:00
4.2.51;2026-03-23T00:00:00;2027-06-22T00:00:00
4.2.52;2026-03-25T00:00:00;2027-06-24T00:00:00
4.2.53;2026-03-25T00:00:00;2027-06-24T00:00:00
4.2.54;2026-03-28T00:00:00;2027-06-27T00:00:00
4.2.55;2026-03-28T00:00:00;2027-06-27T00:00:00
4.2.56;2026-03-28T00:00:00;2027-06-27T00:00:00
4.2.57;2026-03-30T00:00:00;2027-06-29T00:00:00
4.2.58;2026-03-31T00:00:00;2027-06-30T00:00:00
4.2.59;2026-03-31T00:00:00;2027-06-30T00:00:00
4.2.60;2026-04-02T00:00:00;2027-07-02T00:00:00
4.2.61;2026-04-03T00:00:00;2027-07-03T00:00:00
4.2.62;2026-04-03T00:00:00;2027-07-03T00:00:00
4.2.63;2026-04-06T00:00:00;2027-07-06T00:00:00
4.2.64;2026-04-06T00:00:00;2027-07-06T00:00:00
4.2.65;2026-04-06T00:00:00;2027-07-06T00:00:00
4.2.66;2026-04-07T00:00:00;2027-07-07T00:00:00
4.2.67;2026-04-07T00:00:00;2027-07-07T00:00:00
4.2.68;2026-04-07T00:00:00;2027-07-07T00:00:00
4.2.69;2026-04-08T00:00:00;2027-07-08T00:00:00
4.2.70;2026-04-13T00:00:00;2027-07-13T00:00:00
